"PLACA","VEICULO","MARCA","MODELO","ANO","ONUS","VALOR","CHASSI","RENAVAN","MOTORISTA","CEP"
"ESB0D30","CAMINHÃO","MERCEDES BENS","CAMINHÃO MERCEDES/ATEGO","","SEM ONUS","385.000,00","9BM958166KB124130","1179119263","ROQUE","78894-200"
"JCB4E81","CAMIONETE","VOLKSWAGEN","AMAROK DUPLA","21/22","SEM ONUS","282.500,00","WV1DA22HXNA008191","1285864945","DIEGO","78894-200"
"OAW0F39","CAMINHÃO","DAF","CAMINHÃO DAF XF105 FFT 510A","19 / 19","SEM ONUS","400.000,00","98PTT47MSKB107689","1204399112","JOSÃO","78894-200"
"OAW0F79","CAMINHÃO","DAF","CAMINHÃO DAF XF105 FFT 510A","19 / 19","SEM ONUS","400.000,00","98PTT47MSKB1076377","1204395494","GEOVANIR","78894-200"
"OBP0D86","CAMINHÃO","MERCEDES BENS","CAMINHÃO MERCEDES/ATRON","12/12","SEM ONUS","246.600,00","9BM695304VB855062","538184027","PERCA TOTAL",""
"PLAC889","Tipo De Veiculo","Marca","Modelo","ano","onus","valor","CHASSI","100","Motorista","100"
"PRY5A82","CAMIONETE","AMAROK","AMAROK DUPLA","18 / 18","SEM ONUS","158.280,00","WV1DA22H7JA030966","1151028417","VENDEU - NETO",""
"QCB0J08","CAMIONETE","TOYOTA","HILUX CB SIMPLES","17/17","SEM ONUS","164.440,00","8AJFA8CB8H2001589","1113256424","VENDEU",""
"QCH2F24","MONTANA","CHEVROLET","MONTANA","19/20","SEM ONUS","60.900,00","9BGCAB030LB148764","1228118520","MIKAEL - OUTROS CONDUTORES TBM","78894-200"
"QCH2F34","MONTANA","CHEVROLET","MONTANA","19/20","SEM ONUS","60.900,00","9BGCAB030LB147168","1228119462","CLAUDECIR - OUTROS CONDUTORES TBM","78894-200"
"QCP8508","CAMINHÃO","SCANIA","CAMINHÃO SCANIA P310","1","SEM ONUS","420.000,00","9BSP8X200H3911222","1131417191","NILVO","78894-200"
"QCW4E71","CAMINHÃO","MERCEDES BENS","CAMINHÃO MERCEDES/ACCELO","19/20","SEM ONUS","317.000,00","9BM979098LB169278","1221094499","LUIZ CARLOS","78894-200"
"QCW7I68","CRETA","HYUNDAI","CRETA","18/19","SEM ONUS","99.600,00","9BHGC813BKP090248","1168535619","VARIOS CONDUTORES","78894-200"
"QCY3C36","CAMIONETE","TOYOTA","HILUX CB DUPLA","18/18","SEM ONUS","193.490,00","8AJKA8CDXJ3179357","1162092260","ADEMIR","78894-200"
"QMV9J85","HILUX","","HILUX","17/18","SEM ONUS","","9BG144DK0JC422760","1127888126","VENDEU",""
"QZB1389","CARRETINHA","BARCO","CARRETINHA DO BARCO","","","","","","VENDEU","78894-200"
"RAP8F72","CAMIONETE","CHEVROLET","S10 CB SIMPLES","21/21","SEM ONUS","163.200,00","9BG144DK0MC425697","1255553216","PEDRO HENRIQUE","78560-000"
"RAP8F82","CAMIONETE","CHEVROLET","S10 CB SIMPLES","21/21","SEM ONUS","163.200,00","9BG144DK0MC425710","1255553763","ANDERSON","78894-200"
"RAP8F92","CAMIONETE","CHEVROLET","S10 CB SIMPLES","21/21","SEM ONUS","163.200,00","9BG144DK0MC425220","1255554271","ANDRÉ","78894-200"
"RAP8G02","CAMIONETE","CHEVROLET","S10 CB SIMPLES","21/21","SEM ONUS","163.200,00","9BG144DK0MC425201","1255554859","JONATHAN","78894-200"
"RAP8G12","CAMIONETE","CHEVROLET","S10 CB SIMPLES","21/21","SEM ONUS","163.200,00","9BG144DK0MC425382","1255555278","REINALDO","78894-200"
"RAP8G32","CAMIONETE","CHEVROLET","S10 CB SIMPLES","21/21","SEM ONUS","163.200,00","9BG144DK0MC425620","1255555642","PERCA TOTAL",""
"RAT0J45","CAMIONETE","TOYOTA","HILUX CB DUPLA","21/21","SEM ONUS","271.400,00","8AJBA3CD7M1663151","1262765401","EMERSON MINOSSO","78525-970"
"RAV8J39","CAMIONETE","TOYOTA","HILUX CB DUPLA","21/21","SEM ONUS","271.400,00","8AJBA3CD7M1674358","1271002318","VENDEU - POSSAMAI","78894-200"
"RAW5F14","CAMIONETE","TOYOTA","HILUX CB DUPLA","21/22","SEM ONUS","","8AJBA3CD7N1697236","1286876289","DANIEL","78894-200"
"RAY4E67","STRADA","FIAT","STRADA","21/22","SEM ONUS","90.780,00","9BD281B31NYW46653","1269442594","VENDEU",""
"RAY6E71","CAMIONETE","TOYOTA","HILUX CB DUPLA","21/23","SEM ONUS","255.000,00","8AJBA3CD8N1702251","1289808608","GILMAR","78525-970"
"RAY7B71","CAMIONETE","TOYOTA","HILUX CB SIMPLES","21/22","SEM ONUS","213.740,00","8AJDA8CB9N6048206","1289839058","FERNANDO","78894-200"
"RAY7C01","CAMIONETE","TOYOTA","HILUX CB SIMPLES","21/22","SEM ONUS","213.740,00","8AJDA8CB5N6048137","1289840374","","78560-000"
"RAZ4F25","CAMIONETE","VOLKSWAGEN","AMAROK DUPLA","21/22","SEM ONUS","225.740,00","WV1DB42H5NA006907","1285876668","MANOEL","78894-200"
"RFC7G21","TRAILBRAZER","","TRAILBRAZER","20/20","SEM ONUS","230.700,00","9BG156YKOLC435252","1230400637","VENDEU","78894-200"
"RRJ6F66","STRADA","FIAT","STRADA","21/22","SEM ONUS","90.780,00","9BD281A31NYW80129","1285264204","BRENO","78894-200"
"RRJ6F76","STRADA","FIAT","STRADA","21/22","SEM ONUS","90.780,00","9BD281A31NYW91969","1285264301","MARCIANO","78894-200"
"RRO8D88","DISCOVER","","DISCOVER","","SEM ONUS","","","","VENDEU","78894-200"
"RRT7B13","CAMIONETE","TOYOTA","HILUX CB SIMPLES","23/23","SEM ONUS","219.225,00","8AJDA8CB2P6053475","1338059758","","78525-970"
"RRU7B14","CAMIONETE","TOYOTA","HILUX CB SIMPLES","23/23","SEM ONUS","219.225,00","8ASDA8CB2P6053704","1345807829","PERCA TOTAL",""
"RRW9D11","CAMIONETE","TOYOTA","HILUX CB SIMPLES","22/23","SEM ONUS","219.220,00","9AJDA8CB3P6052299","1342430856","MATHEUS","78525-970"
"RRX8G81","CAMIONETE","CHEVROLET","S10 CB SIMPLES","23/23","SEM ONUS","217.200,00","9BG144DK0PC441276","1342806970","DANIEL PEGO","78896-200"
"RRX8G91","CAMIONETE","CHEVROLET","S10 CB SIMPLES","23/23","SEM ONUS","217.200,00","9BG144DK0PC441327","1342807712","FABIO","78894-200"
"RRZ1J68","RAM","RAM","RAM 1500 LIMITED HEMI","23 / 23","SEM ONUS","","1C6SRFHT4PN510372","1355036922","VENDEU","78894-200"
"RRZ5D39","STRADA","FIAT","STRADA","23 / 23","SEM ONUS","86.842,77","9BD281A2DPYE24104","1356977445","SIMBIOSE","78560-000"
"RRZ5D69","STRADA","FIAT","STRADA","23 / 23","SEM ONUS","86.842,77","9BD281A2DPYE31589","1357002251","SIMBIOSE","78525-970"
"RRZ5D89","STRADA","FIAT","STRADA","23 / 23","SEM ONUS","86.842,77","9BD281A2DPYE31892","1357003185","PERCA TOTAL",""
"SEV7I46","CARRETA","FACCHIN","SEMI REBOQUE","23 / 24","SEM ONUS","","94BA1354PRV007287","1365019753","GEOVANIR","78894-200"
"SFA0J14","CARRETA","FACCHIN","SEMI REBOQUE","23 / 24","SEM ONUS","","94BA1354PRV008671","1372019607","JOSÉ","78894-200"
"SGY3G25","T-CROS","VOLKSWAGEN","T-CROS","24/24","SEM ONUS","","9BWBH6BFXR4027336","1367572743","VENDEU - ANDRE","78894-200"
"SPC3I99","STRADA","FIAT","STRADA","23 / 23","SEM ONUS","86.842,77","9BD281A2DPYE31378","1357384057","","78560-000"
"SPH1B98","CAMINHÃO","MERCEDES BENS","CAMINHÃO MERCEDES/ACCELO","23/23","SEM ONUS","400.000,00","9BM951111PB317167","1376169247","CLAUDIOMIRO","78894-200"
"SPI1I50","MOBI","FIAT","MOBI","24/25","SEM ONUS","65.811,76","9BD341ACSSY978456","1399689352","ADEMIR","78894-200"
"SPI1I80","MOBI","FIAT","MOBI","24/25","SEM ONUS","65.811,76","9BD341ACSSY975552","1399690040","JOYCE","78894-200"
"SPN5G39","STRADA","FIAT","STRADA","24/25","SEM ONUS","105.848,80","9BD281BKHSYG00387","1411097731","CAYO","78894-200"
"SPN5G49","STRADA","FIAT","STRADA","24/25","SEM ONUS","105.848,80","9BD281BKHSYG00229","1411099246","DEBORA","78894-200"
"SPQ3I29","STRADA","FIAT","STRADA","24/25","SEM ONUS","105.848,80","9BD281BKHSYG02176","1412435355","","78894-200"
"SPQ3I99","STRADA","FIAT","STRADA","24/25","SEM ONUS","105.848,80","9BD281BKHSYF64542","1412435886","ROSIANE","78894-200"
"TST1234","TESTE","MARCA TESTE","MODELO TESTE","23/23","SEM ONUS","100000.00","9BG144DK0MC425999","1255554000","MOTORISTA TESTE","78000-000"
"ZR8C88","HANGER","","HANGER","","SEM ONUS","","","","VENDEU",""
